file,candidate_table,status,reason
ai-academy/glossary/ai-academy-glossary-ai-ethics.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-ai-safety.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-ai-verification.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-algorithm.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-alignment.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-api.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-artificial-intelligence.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-automation.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-bias-in-ai-2.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-bias-in-ai.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-chain-of-thought.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-chatbot.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-computer-vision.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-context-window.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-data-mining.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-deep-learning.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-embedding.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-emergent-abilities.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-ethics-in-ai.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-fact-checking.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-few-shot-prompting.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-fine-tuning-2.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-fine-tuning.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-generative-ai-2.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-generative-ai.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-hallucination-2.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-hallucination.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-inference.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-large-language-model.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-llm.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-machine-learning.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-multimodal-ai.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-natural-language-processing.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-neural-network.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-output-formatting.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-over-reliance.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-persona-pattern.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-prompt-engineering-2.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-prompt-engineering.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-prompt-evaluation.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-prompt-library.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-prompt.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-rag.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-semantic-search.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-system-prompt.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-temperature.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-tokenization-2.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-tokenization.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-turing-test.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/glossary/ai-academy-glossary-zero-shot-prompting.json,ai_glossary,SIMULATED_IMPORT,Existing target table found
ai-academy/prompts/ai-academy-prompt-analyze-tone.json,ai_prompts,SIMULATED_IMPORT,Existing target table found
ai-academy/prompts/ai-academy-prompt-brainstorm-ideas-2.json,ai_prompts,SIMULATED_IMPORT,Existing target table found
ai-academy/prompts/ai-academy-prompt-brainstorm-ideas.json,ai_prompts,SIMULATED_IMPORT,Existing target table found
ai-academy/prompts/ai-academy-prompt-code-review.json,ai_prompts,SIMULATED_IMPORT,Existing target table found
